,Producto: ,Color,Precio,Descuento,Tallas disponibles,Tallas con poco stock,Tallas sin stock,URL
0,BOTA SERRAJE BORDÓN,Hielo,"22,99 EUR",-53%,"['40', '41']",[],"['39', '42', '43', '44', '45', '46', '47']",https://www.zara.com/es/es/bota-serraje-bordon-p12015320.html
1,BOTA SERRAJE BORDÓN,Marrón,"22,99 EUR",-53%,"['39', '40', '41', '42', '43', '44', '45']",[],"['46', '47']",https://www.zara.com/es/es/bota-serraje-bordon-p12015320.html
